-10 -10 0
-10  -5 5
-10   0 10
-10   5 16
-10  10 23
-10  15 30
-10  20 36
-10  25 43
-10  30 50
-10  35 56
-10  40 63
-10  45 70
-10  50 76
-10  55 83
-10  60 90
-10  65 96
-10  70 103
-10  75 110
-10  80 116
-10  85 123
-10  90 130
-10  95 136
-10 100 143
 -5 -100 0
 -5 -95 0
 -5 -90 0
 -5 -85 0
 -5 -80 0
 -5 -75 0
 -5 -70 0
 -5 -65 0
 -5 -60 0
 -5 -55 0
 -5 -50 0
 -5 -45 0
 -5 -40 0
 -5 -35 0
 -5 -30 0
 -5 -25 0
 -5 -20 0
 -5 -15 0
 -5 -10 0
 -5  -5 0
 -5   0 5
 -5   5 11
 -5  10 18
 -5  15 25
 -5  20 31
 -5  25 38
 -5  30 45
 -5  35 51
 -5  40 58
 -5  45 65
 -5  50 71
 -5  55 78
 -5  60 85
 -5  65 91
 -5  70 98
 -5  75 105
 -5  80 111
 -5  85 118
 -5  90 125
 -5  95 131
 -5 100 138
  0 -100 0
  0 -95 0
  0 -90 0
  0 -85 0
  0 -80 0
  0 -75 0
  0 -70 0
  0 -65 0
  0 -60 0
  0 -55 0
  0 -50 0
  0 -45 0
  0 -40 0
  0 -35 0
  0 -30 0
  0 -25 0
  0 -20 0
  0 -15 0
  0 -10 0
  0  -5 0
  0   0 0
  0   5 6
  0  10 13
  0  15 20
  0  20 26
  0  25 33
  0  30 40
  0  35 46
  0  40 53
  0  45 60
  0  50 66
  0  55 73
  0  60 80
  0  65 86
  0  70 93
  0  75 100
  0  80 106
  0  85 113
  0  90 120
  0  95 126
  0 100 133
  5 -100 1
  5 -95 1
  5 -90 1
  5 -85 1
  5 -80 1
  5 -75 1
  5 -70 1
  5 -65 1
  5 -60 1
  5 -55 1
  5 -50 1
  5 -45 1
  5 -40 1
  5 -35 1
  5 -30 1
  5 -25 1
  5 -20 1
  5 -15 1
  5 -10 1
  5  -5 1
  5   0 1
  5   5 1
  5  10 8
  5  15 15
  5  20 21
